moveNumber;guid;name;description;type;category;target;cantBeRandomed;sp;flatDamage;power;priority;isStatBased;enemyStat;statType;statLow;statHigh;extraCrit;specialType;alwaysHits;accuracy;hitsDig;hitsFly;minAttacks;maxAttacks;startsDig;startsFly;isTransform;selfHealing;sleepAttack;oneUse;isDelayed;delay;isMultiTurn;effectTurn;turnsMin;turnsMax;hasCooldown;cooldown;recoilOnHit;recoilOnMiss;recoilPercent;recoil;recoilAnimation;effects;secondaryEffects
78;5dd9258e25f8d404aae39dc0c8722ed0;Guard;Raises user's Defense.;1;2;1;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 1, 'boost': 1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
79;f11546c22f597204f941db95afee7cb4;Pump;May cause flinching.;1;0;0;0;10;0;70;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 7, 'statChance': 20, 'secChance': 100}]
80;db426ebff9fdbd44da91b8d5a9ea43a7;Pinch;;1;0;0;0;12;0;65;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
81;2a099a77f173a854caaf524c6db17599;Blind Rage;One-Hit-KO, if it hits.;1;0;0;0;5;0;0;0;0;0;0;0;0;0;22;0;30;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
82;c7c1aafe76dc6ad45ad398cb55d57a65;Slap;May cause flinching.;1;0;0;0;10;0;80;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 7, 'statChance': 20, 'secChance': 100}]
83;b0a85777318ef984d91a34e238980591;Stare;Lowers opponent's Defense.;1;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [{'stat': 1, 'boost': -1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
84;e470c3f37264f044eb7f00a49fcd457d;Lullaby;User rests, recovering 25% of max HP each turn it is asleep;1;2;1;1;5;0;0;0;0;0;0;0;0;0;0;0;75;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [], 'status': 11, 'volatileStatus': 0, 'statChance': 100}];[]
85;fba4066a5f08a5e47b413fab5f89b02b;Modulator;User performs almost any move in the game at random.;1;0;0;1;10;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
86;9b7ed0bd30b750442ab1adc5068e28cd;Mime;Copies the opponent's last move.;1;0;0;0;10;0;0;0;0;0;0;0;0;0;5;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
87;3f272e3ddbcf9604e8bd41657f826bdc;Twinke Toes;Sharply raises the users evasion;1;2;1;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 6, 'boost': 2, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
88;4eefdfc6982a5824f8ff10b6c885e05d;Mimic;User performs the opponent's last move.;1;0;0;0;10;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
89;103b3b819d681014480472f6e0b8de61;Coach;Doubles XP for the duration of the battle;1;0;0;1;10;0;40;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
90;55f4e184eeb3b6844ab57701e3f0f4fe;Wiggle;;1;0;0;0;15;0;35;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
91;26458c5671b1d4441b53a0336964fd58;Swagger;Raises Attack;1;0;0;0;10;0;40;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 1, 'boosts': [{'stat': 0, 'boost': 1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0, 'secChance': 100}]
92;6ce4704362586a64996c41cbd94b529b;Medpack;User recovers half its max HP. Only useable once per deployment;1;0;1;1;1;0;0;0;1;0;6;50;50;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
93;66894d54bacbf8742b9320e8b3d8a554;Slapout;Slap and switch Toshimon;1;0;0;1;6;0;50;0;0;0;0;0;0;0;2;0;50;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
94;b6c591e03fbe85a4cb1653458f65585d;Bristle;;1;0;0;0;15;0;40;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
95;ca13b3b0c6d1b8d4b90c32cae576b785;Vibe Check;Sharply lowers opponent's Defense.;1;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;85;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [{'stat': 1, 'boost': -2, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
96;755a493865240504699fc094f13bbc13;Self-Destruct;User faints.;1;0;0;0;1;0;200;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;999;6;[];[]
97;74ef0b2d1708cc144b849edc7267d1fd;Power Up;Raises user's Attack.;1;2;1;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 0, 'boost': 1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
98;3eb5054246a46b54f8bf841661e7aef7;Wedgie;;1;0;0;0;10;0;80;0;0;0;0;0;0;0;0;0;75;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
99;7ae3ffed5858e4241bc3c8ed6a38b20c;Strike;High critical hit ratio.;1;0;0;0;8;0;70;0;0;0;0;0;0;5;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
100;9b16425f14cdc8b49b74ebf71a339d8a;Double Vision;Lowers opponent's Accuracy.;1;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [{'stat': 5, 'boost': -1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
101;a789e9761e341d342ab24710f04cc044;Gain;User recovers half its max HP. Disabled for 3 turns.;1;2;1;1;5;0;0;0;1;0;6;50;50;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;[];[]
102;5600eeb130408294a847db7f5377fa2e;20 Savage;Always inflicts 20 HP.;1;0;0;0;20;1;20;0;0;0;7;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
103;b7d64259ed68cff4cb810765a32dcc20;Sleepwalker;Randomly uses any move if sleeping;1;0;0;1;10;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
104;fe8e5a2ab7897e44689dc80b0c4eb9ff;Stick Up;May cause flinching.;1;0;0;0;10;0;65;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 7, 'statChance': 20, 'secChance': 100}]
105;28deb9e5c0013db48ae5d1e6cca9a854;Bludgeon;;1;0;0;0;10;0;80;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
106;fa342a4e2e8d8524f8be902163c81081;Drag;Sharply lowers opponent's Speed.;1;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;95;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [{'stat': 4, 'boost': -2, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
107;518599785f427d5488c0bed5c00bc6d8;Squirm;;1;0;0;0;15;0;50;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
108;9ba7b45ce1e0aaa42b79f57029b25377;Clone;Uses HP to creates a decoy that takes hits.;1;2;0;1;6;0;0;0;0;0;0;0;0;0;10;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
109;99d81aa5d90a5164c8c2767a20385f8e;Throw;Always takes off half of the opponent's HP. Cooldown.;1;0;0;1;5;0;0;0;1;1;6;50;50;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;[];[]
110;f2c018b0347f62841bcefe80acded118;Pose;Sharply raises user's Attack.;1;2;1;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 0, 'boost': 2, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
111;8c5a50738405ca04590ea19ae368ce25;Lunge;;1;0;0;0;15;0;40;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
112;d8d6181b971fe8540a5082f65dea497b;Interrogate;Lowers opponent's Defense.;1;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [{'stat': 1, 'boost': -1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
113;9237b28e4f50d2e49a0a52a3bc26e899;Carbon Copy;User takes on the form and attacks of the opponent.;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
114;ef4007a98bccc2648ac2bcac59d06cac;Spinal Tap;May paralyze, burn or freeze opponent.;1;0;0;0;10;0;80;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 2, 'volatileStatus': 0, 'statChance': 20, 'secChance': 75}, {'effectTarget': 0, 'boosts': [], 'status': 5, 'volatileStatus': 0, 'statChance': 20, 'secChance': 75}, {'effectTarget': 0, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 20, 'secChance': 75}]
115;3f5faac8b11a06043880aa93380e0069;Double Tap;Hits twice in one turn.;1;0;0;0;12;0;25;0;0;0;0;0;0;0;0;0;100;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
116;2704c40e1d8e7254d8a0dedbbb49f1e7;Tap;;1;0;0;0;15;0;55;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
117;5aba3bb0941d7344c8abcb419e294066;Shoo;In battles, the opponent switches. In the wild, the Toshimon runs.;1;0;0;1;6;0;0;0;0;0;0;0;0;0;3;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
118;bf5d7db8aa8e2e04eac2d39ff97d0151;Poke;;1;0;0;0;15;0;60;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
119;99bbbfcdc8dcbc44ca075e983a7f8548;Berate;May trap opponent, damaging them for 4-5 turns.;1;0;0;0;8;0;15;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 10, 'statChance': 20, 'secChance': 100}]
120;68f530ebb0d202448bde4b5124ef0edb;Flutter;Sharply raises user's Defense.;13;2;1;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 1, 'boost': 2, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
121;323747166c006c2468df808462b3a17f;Heartbreak;Must be used 3 separate times. The total damage absorbed on the first two times is doubled and inflicted on the opponent on the third use.;13;0;0;1;6;0;0;0;0;0;0;0;0;0;17;1;0;0;0;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;[];[]
122;c8097ee5fde24314c8270b8b85d6b8c0;Kissy Face;May lower opponent's Speed by one stage.;13;2;0;0;12;0;10;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [{'stat': 4, 'boost': -1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[{'effectTarget': 0, 'boosts': [{'stat': 4, 'boost': -1, 'chance': 20}], 'status': 0, 'volatileStatus': 0, 'statChance': 0, 'secChance': 100}]
123;171ea36d93f7b5c49a6c6671b2164a84;Takeaway;Opponent can't use its last attack for a few turns.;13;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
124;7448008de1be28d47bc80fa854c82eb2;Love Potion;One-Hit-KO, if it hits.;13;0;0;0;5;0;0;0;0;0;0;0;0;0;22;0;30;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
125;394b9fe3170d546468f4ba0761a1b182;Warm Embrace;Raises user's Sp. Attack when hit.;13;0;0;0;10;0;30;0;0;0;0;0;0;0;20;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
126;3c5d089033707d94f9ce1bdc60fd7b6a;Yawn;Puts opponent and user to sleep.;13;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;75;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [], 'status': 3, 'volatileStatus': 0, 'statChance': 100}, {'effectTarget': 0, 'boosts': [], 'status': 3, 'volatileStatus': 0, 'statChance': 100}];[]
127;a6203336eecb05f48b41e2da016f314c;Winky Face;Confuses opponent.;13;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;55;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 6, 'statChance': 100}];[]
128;893f32a870d982d438bb520ddb8e6d5b;Chill Breeze;May lower opponent's Attack.;6;0;0;0;10;0;65;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [{'stat': 0, 'boost': -1, 'chance': 20}], 'status': 0, 'volatileStatus': 0, 'statChance': 0, 'secChance': 100}]
129;a0603b92f97049148b090c6703e0b55d;Icemaker;May freeze opponent.;6;0;0;0;5;0;110;0;0;0;0;0;0;0;0;0;70;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 5, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
130;e02b5d25e1c193543aced0d57a15d8c8;Hail;May freeze opponent.;6;0;0;0;8;0;90;0;0;0;0;0;0;0;0;0;100;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 5, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
131;d391d61d9b7c39c439dd1634cfc73df5;Freezing Rain;May freeze opponent.;6;0;0;0;10;0;75;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 5, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
132;d01a7e6752dd5044aa959b9d05e7c6de;Ice Shield;User's stats cannot be changed for a period of time.;6;2;1;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
133;e1e9e091b411f0d4db83c225bed95e6f;Icy Shards;Hits 2-5 times in one turn.;6;0;0;0;8;0;25;0;0;0;0;0;0;0;0;0;95;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
134;c262cf592edd4504c9bf5f8927fea34f;Laserbeam;;4;0;0;0;5;0;120;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
135;423c46eb00597684f9a30ae40e0d6c7b;Light Beam;May paralyze opponent.;4;0;0;0;5;0;110;0;0;0;0;0;0;0;0;0;65;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
136;64fd7f6b353d405489d3741261e06f1f;Strobe;May paralyze opponent.;4;0;0;0;8;0;75;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
137;057802e6f1a296642b5bc6c47f613053;Shock;May paralyze opponent.;4;0;0;0;12;0;40;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
138;48e7072ace8583a4f9565062ec772360;Blind;Paralyses opponent.;4;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 100}];[]
139;d2bbc2fa501981447bfe7a7c4c46dd21;Electrecute;May paralyze opponent.;4;0;0;0;8;0;90;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
140;15a36c56339b40a43bcd6e8f228edde0;Grow;User recovers half the HP inflicted on opponent.;5;0;0;0;15;0;20;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;-50;5;[];[]
141;1a210953059c5a648aff429da0eec30e;Mold Spore;Drains HP from opponent each turn.;5;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 9, 'statChance': 100}];[]
142;66ffd8d801fc8e647979fdc1b1bc008d;Symbiote;User attacks for 2-3 turns but then becomes confused.;5;0;0;1;2;0;120;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;1;2;2;3;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 6, 'statChance': 100, 'secChance': 100}]
143;be558c1e02c228945a60cbd7595fa0ee;Thorns;High critical hit ratio.;5;0;0;0;12;0;55;0;0;0;0;0;0;5;0;0;95;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
144;4d8c2912b1c755c4c9183553cede8e21;Sleepy Time;May put opponent to sleep.;5;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;75;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [], 'status': 3, 'volatileStatus': 0, 'statChance': 30}];[]
145;bdfcffaccd82e674fb36a8586edbad4c;Overgrowth;Charges on first turn, attacks on second.;5;0;0;1;5;0;120;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;[];[]
146;5ee59c3c94a6d02418d5ab9208a91b94;Twine;May paralyze opponent.;5;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;75;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 20}];[]
147;8106c6ae042c15446b79c2724645af3d;Leaf Blower;;5;0;0;0;12;0;45;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
148;7819cc72d47909648bf8bdf4272d7147;Poison;Poisons opponent. May lower opponent's Special Defense.;8;0;0;0;10;0;40;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [{'stat': 3, 'boost': -1, 'chance': 20}], 'status': 1, 'volatileStatus': 0, 'statChance': 100, 'secChance': 100}]
149;90870fda3515680488d136609b626334;Toxin;Poisons opponent.;8;0;0;0;8;0;30;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 1, 'volatileStatus': 0, 'statChance': 100, 'secChance': 100}]
150;c1c6ebc8b003d904da34ff32673aa561;Wither;May poison the opponent.;8;0;0;0;12;0;15;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 1, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
151;d2de26272d7fd514ab7e02e4111d307b;Venom;May poison opponent.;8;0;0;0;8;0;65;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 1, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
152;5f448fee37b513449ba64b9012e82bcc;Smog;May poison opponent.;8;0;0;0;12;0;30;0;0;0;0;0;0;0;0;0;70;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 1, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
153;3dfc66c7b339edd47a761a5cb1a7abb2;Pathogen;Badly poisons opponent.;8;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [], 'status': 14, 'volatileStatus': 0, 'statChance': 100}];[]
154;8c6f9487b67246c44a1a8b4b71d7fdea;Spray;May lower opponent's Speed.;3;0;0;0;12;0;40;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [{'stat': 4, 'boost': -1, 'chance': 20}], 'status': 0, 'volatileStatus': 0, 'statChance': 0, 'secChance': 100}]
155;a354ef17b9cdfb14fbf0d74fa2e02258;Mist;May lower opponent's Speed.;3;0;0;0;10;0;65;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [{'stat': 4, 'boost': -1, 'chance': 20}], 'status': 0, 'volatileStatus': 0, 'statChance': 0, 'secChance': 100}]
156;12c0a430c4e6eaf47b7d382c91251835;Whirlpool;May trap opponent, damaging them for 4-5 turns.;3;0;0;0;8;0;35;0;0;0;0;0;0;0;0;0;85;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 10, 'statChance': 20, 'secChance': 100}]
157;e714836a5cd267545bc29904eb0250ad;High Tide;High critical hit ratio.;3;0;0;0;5;0;100;0;0;0;0;0;0;5;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
158;6d7543b0073e15c4497fd15d4a01d078;Firehose;;3;0;0;0;5;0;110;0;0;0;0;0;0;0;0;0;80;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
159;930d309962bfd274a8bc75eb5ca41610;Jetstream;;3;0;0;0;8;0;90;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
160;e7f09877ebd7bb141bae50d70413556c;Spritz;;3;0;0;0;15;0;40;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
161;58262f336e9b2644e8dcc8993374dc1f;Hydrate;Sharply Raises user's Sp. Defense.;3;2;1;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 3, 'boost': 2, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
162;60ff3a529a26e054ea56b8a48e02bba0;Bairzooka;A strong blast that also damages the user.;10;0;0;0;5;0;120;0;0;0;0;0;0;0;0;0;100;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;20;6;[];[]
