name;toshidexNumber;rarity;evolves;evolutionStage;description;ethCardIndex;type1;type2;maxHP;attack;defense;spAttack;spDefense;speed;knownMoves
Gotheau;11;3;1;2;Gotheau is a Toshimon that walks on four feet-like claws that are hardened by ice. This Toshimon have thick furs and a special covering of ice spikes on its back and its tail grow by will. Gotheau have also developed strong fangs and heightened its sense of smell to detect danger in its surroundings. This Toshimon is a developed Gotar who have come out of its shells. Gotheau walks in confidence summoning a blizzard in its wake as a way to intimidate predators and wear down its prey. If Gotheau tactics fail and senses danger, Gotheau will retreat at the sight of danger but will not back down without a fight for sure. Gotheau is a creature of the ice, so it utilizes the cold temperature that it naturally emanates to create conditions which is an advantage to it. Utilizing its ice-based capabilities, Gotheau can summon a powerful blizzard and create Hail to damage its opponents while boosting its own power to launch powerful attacks or even create an impenetrable Ice Shield to protect itself.;268;6;0;60;130;60;130;60;100;[{'moveBase': {'fileID': 11400000, 'guid': 'e02b5d25e1c193543aced0d57a15d8c8', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'd01a7e6752dd5044aa959b9d05e7c6de', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'f2c018b0347f62841bcefe80acded118', 'type': 2}}]
Gothuar;12;3;0;3;The frightening and powerful Gothuar is an ice-born Toshimon that is fast, powerful and imposing. Its terrifying sharp claws and large spikes of ice covering its back is the least of the things that will intimidate its opponents. Gothuar makes its opponents shake both in fear and in cold. Having left any sense of fear and embracing the dark savagery, Gothuar is a creature to be feared with. This Toshimon is corrupted, have lost any sense of morals, and is easily triggered by the slightest things, and it will not hesitate to bring other Toshimon down in one swift strike. Gothuar is the prime example of an apex predator and it believes that anything will bow down to pure power. Gothuar is a Dark and Ice-type creature. This Toshimon is able to create almost any ice objects out of thin air like magic with an Icemaker, whether it is a flurry icicle spears or one giant ice spike but one thing is guaranteed, it is intended to strike down its opponents. Embracing the dark side, Gothuar is able to Hex its opponents and make them fearful in hallucination of their darkest nightmares. This Toshimon can also able to strike opponents down with its powerful claws that are covered and hardened by ice.;269;6;12;70;140;70;140;70;110;[{'moveBase': {'fileID': 11400000, 'guid': 'a0603b92f97049148b090c6703e0b55d', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'aabf6cd4503c3d7469858348ca028de7', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'd01a7e6752dd5044aa959b9d05e7c6de', 'type': 2}}]
Eeeg;13;1;1;1;Eeeg is a Toshimon that still live in its egg. This egg shell is used as protective covering from predator but also as a way to hide the amount of toxic it actually carries. A small portion of Eeeeg's body is usually protruding from a hole of its shell, and it has a tail covered with muscle that imitates a foot or a hand. This enables Eeeg for mobility by rolling itself from one push at a time which actually seems inefficient. Being stuck in its shell Eeeg is naÃ¯ve and sheltered, literally. Due to its lack of mobility, most Eeeg will not strike immediately and always moves second. However, Eeeg is still tricky little creatures though and if provoked, it could easily spew toxic at its provoker. This Toshimon can do very little with its limited mobility but Eeeg do the best out of it by hitting opponents with its very unusual tail by kicking or punching them. Eeeg is always on defense because of its lack of mobility and limited range of attack.;47;7;0;90;55;50;110;80;45;[{'moveBase': {'fileID': 11400000, 'guid': '38ed513cf0826ab47a8d97b659b329b2', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '30684d82e58f7584e91e9902a34ab7b3', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Sneeek;14;2;1;2;Sneeek is far more developed than their pre-evolution Eeeg and have come out of their shells after it breaks away because it is too big for it. Sneeek is covered in scales, have developed fangs that can inject toxins, and its tail has developed into a membrane of muscles that resembles that of a punching glove. Sneeek-y by nature, this creature uses the remnants of its shell to pretend to other Toshimon that Sneek is weak. However, Sneek likes to to pick on Eeeg. Hiding completed in bushes except for the shell, it lies in wait for predators and turn them into their prey. Sneeek is tricky and usually fight with dirty-handed tactics by dealing powerful blows to unguarded opponents, or by injecting toxins from its fangs to cripple foes. Despite solving the lack of mobility, Sneeek aren't as agile as you think, its tail usually weigh Sneek down, so its not that fast. However, that doesn't mean that Sneek won't hit you if you target its tail.;141;7;8;100;110;80;85;90;60;[{'moveBase': {'fileID': 11400000, 'guid': 'e659f186565b68b49932efe8e453123f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'bec78305a5dc83146925b1d19b87a8cc', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '7819cc72d47909648bf8bdf4272d7147', 'type': 2}}]
Rattleeer;15;3;0;3;A terrifying Toshimon that spans up to half a meter, glaring yellow eyes, fangs that inject venom, and two tails that both have muscled, spiked ends. Rattleeer is scaly, long, and as thick as an arm. This Toshimon may not be agile but it is still deadly. With a lot on their arsenal, Rattleeer is also a sneaky-tricksters that is intelligent enough to wear its opponents down first before dealing a full-blown strike. It is literally a dirty-handed creature that will chuckle as it strikes down a poisoned prey. Rattleeer have several abilities, its twin tails are able to deal massive damage by swinging them around in a Spin Kick. This said tails are also covered with dirt and Pathogens that can cripple down or distract their opponents. This Toshimon can also bite opponents and secrete venom from their fangs. Rattleeer's venom is extremely deadly and can easily cause lethal damage to anyone injected with it.;270;7;8;130;135;80;95;80;70;[{'moveBase': {'fileID': 11400000, 'guid': '0b4105af9c428a04485910b52fad6738', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'd2de26272d7fd514ab7e02e4111d307b', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '3dfc66c7b339edd47a761a5cb1a7abb2', 'type': 2}}]
Howgly;16;1;0;0;Howgly is a big and wild Toshimon who is always in a bad mood. Howgly dislikes other Toshimon and can never stand to be in the sample place with them. Its eyes are smoky red and filled with hate. It is very aggressive and brutal and will not hesitate to poke you with its horns and tusks. Howgly known for its strength and charging abilities came from an unknown in deep mountains where mystery and other wild creatures can be found. It always spends its times sharpening its tusks by cutting trees. Never look directly in Howgly's eyes for everything it sees is considered as a foe. Howgly is a huge and aggressive Toshimon that charges right away when it sees you. Despite the huge built and short legs, Howgly can run with a speed of 120 mph. Howgly uses its horns for damages, and leg sweep to tackle the opponents and pin them in the ground. Howgly is full of hatred when facing an opponent and often forgets about its surroundings when fighting, thus it keeps on charging to its enemy until the enemy dies.;48;7;0;90;75;65;65;65;120;[{'moveBase': {'fileID': 11400000, 'guid': '93f9b9cfb7e626e4c9b6539414292f21', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '668e604fbe71a0a498df424a11de821f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Grenoleap;17;1;0;0;;49;7;0;90;60;90;50;90;110;[{'moveBase': {'fileID': 11400000, 'guid': '0b4105af9c428a04485910b52fad6738', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '034cef39039176441b8f7b2b8c2bc679', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Floratek;18;1;1;1;Floratek is a small, tadpole-like Toshimon that sports different colors. Its head is a bright pink color with an antenna sticking out which it uses for echolocation and communication. It has light green arms and a light blue to lavender colored bottom that it uses to move around with ease. Floratek was first found in a forest grotto that had plenty of flowers and different kinds of old machinery lying around. A young girl had discovered this tiny creature, roaming around the grotto, and playing with the used-up computer's lights and such. At first Floratek feared the little girl, so she attempted to offer a flower to Floratek to show that she meant no harm and that she was a friend. The Toshimon seemed to have really appreciated this and the two became good friends in no time. Floratek's best ability is its power to power up old, unusable machinery again thanks to its move Overclock. This Toshimon is also defensive and would rather avoid fights rather than facing them head on. Like most digital Toshimon, Floratek manipulates the machinery around it and possesses them to make escaping their predators quick and easy.;50;5;11;80;75;75;60;60;100;[{'moveBase': {'fileID': 11400000, 'guid': '8106c6ae042c15446b79c2724645af3d', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '60dd6fb21209ef746954e8bee445e67e', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Plantek;19;2;0;2;"Plantek is a small, dragonfly-sprite like Toshimon with its main body being variations of green while the top of it's head has a magenta antenna sticking from the top and its eyes are blank yellow ovals.The antenna and wings from Plantek's back serve as an echo-location tool which helps Plantek navigate dark areas. During the early discoveries of Toshimon, scientists then were conducting experiments on newly found species that were coming up. Sadly, Plantek is one of the many products of these terrible experiments. Its digital capabilities come from these scientists infusing a special chemical into the Toshimon that gave Plantek the ability to enter most electronic devices, possessing them and allowing it to use the electronic's features during battle. Plantek is able to possess and manipulate most electronics to protect itself from attacks and pack a punch while defending itself. It uses its signature ability ""VPNâ€ by turning invisible, bypassing any threats unnoticed to make infiltration easier.";142;5;11;100;40;40;110;110;120;[{'moveBase': {'fileID': 11400000, 'guid': 'be558c1e02c228945a60cbd7595fa0ee', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '55562252d5a8ad64b92c467a930b12d1', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Eros;20;1;1;1;Eros is a tiny, fox-like Toshimon with a fiery red/caramel body color. It has a cream bushy tail and ruff around its neck and blue tiny eyes which is highly adorable. Eros was a pet of a Japanese woman in her 30's. They spend all their time together, whether working, doing chores, or simply playing around. They resided in Kyoto, Japan where the surroundings are both urban and rural. Eros as a Toshimon can adapt to almost any habitat. You can find it often playing in the field with flowers and grass. It may seem that it's a harmless mammal, but it will knock out fast any creature or hurdle ahead once it senses any harm. Eros' assault is a salty one. It will knock any opponent down in a blink of an eye. Believe it or not, its opponents are still underwater.;51;1;0;80;81;61;51;71;101;[{'moveBase': {'fileID': 11400000, 'guid': '103b3b819d681014480472f6e0b8de61', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'ef7cbdc5783f58f4199e65fb0acedfc0', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Incendeon;21;4;0;2;"Incendeon is a small, fox-like Toshimon with a blazing red ember-like colored body and white highlights resembling the hottest kind of fire. Its bushy tail and ruff matches the whole body, all fire. Its metallic gray ferocious eyes make all the opponents kneel down. It used to roam around the tropical, but a strong earthquake happened and a sinkhole suddenly appeared. He fell into the sinkhole and was devoured by the Earth's mantle. Incendeon as a Toshimon can adapt to a high temperature environment. You can find it near volcanos swimming in the magma and playing with molten rocks. Be careful when saying ""Hi"", because it might just burn you away with you with a Flame-nado. Incendeon's 'blaze it' will roast its opponents like turkey on Thanksgiving.";292;1;2;100;100;100;100;100;100;[{'moveBase': {'fileID': 11400000, 'guid': '0f5d64b17add3b14ab37e685a201e0b2', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'a49068708bba6a9468898d9d49ae1afa', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '86d33be10a4a2bd4abb14eaa2ddb002a', 'type': 2}}]
Floweon;22;4;0;2;Floweon is a small, fox-like Toshimon with an indigo-blue sea colored body and magenta firehose encircling his body. Its bushy tail resembles a frothy sea wave and there's no ruff at all, but it has a unique unicorn horn and stars embedded on its ears. Floweon's deceiving eyes will fool any opponent.In a tropical island in the Philippines, a fisherman and his pet were on a boat to catch up some fish to sell when huge waves suddenly appeared due to the shifting of the Earth's tectonic plates. The small boat they were in keeled over, and both of them were washed away to different directions. Eros tried to save its owner, yet the water current was too strong. After spending a day in a small piece of land in the middle of the sea, Eros passed out and woke up under the sea. Floweon as a Toshimon can adapt to any environment with water. You can catch him playing on the shore or under the sea. Floweon's firehose is on fire as it can drown and destroy its opponents like a voyage ship passing through the Bermuda Triangle. Also, its whirlpool can spin its opponents like a dirty laundry.;293;1;3;50;150;60;150;60;130;[{'moveBase': {'fileID': 11400000, 'guid': '6d7543b0073e15c4497fd15d4a01d078', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '12c0a430c4e6eaf47b7d382c91251835', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Glitcheon;23;4;0;2;Glitcheon is a petite, fox-like Toshimon with a silver-green metallic exterior made of metal and emerald. It has triangular eyes and trapezoid face, a rare face for a bug indeed, hence it made every other bug afraid of it. This Toshiomon was a typical internet bug until it found its way to a system where thousands of Eros data were stored. It used to roam around Japan's web system to look for potential prey. One evening, it came across a beacon of data overflowing from one system overpowering the rest. With all its might, in a matter of milliseconds, the system was hijacked. The owner of the system tried to get rid of the bug, but due to its petite structure it evaded every trap that was set. Once it escaped and left the system, it became the digital world's most notorious bug, Glitcheon. Find systems with the heaviest and complex data, and you will find this Toshimon. Glitcheon's packet loss will make its opponents keep their hands in their pockets as it will slow them down and send them back to where they came from. Moreover, it's logoff will definitely put the opponents out.;294;1;11;180;40;160;40;160;20;[{'moveBase': {'fileID': 11400000, 'guid': '187d84749ba863d4e8576bd17f7d1a88', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'aa50e2c0bd0a8104cb96c7c78c3a1a80', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'fbe639f1798bbe74c8299f6be6841285', 'type': 2}}]
Floreon;24;4;0;2;"Floreon is a tiny, fox-like Toshimon with a grass-green colored fur and body. It has a bushy tail that is a grass moss. It has a ruff that is alike to its ears. Floreon's right eye's a fuschia vined-flower and is the same color as its left. In a rainforest, the king would be a lion, but the queen is Floreon. It was typical for an animal to mutate and grow in various habitats; Eros was roaming the forest when it encountered a thirteen-leaf plant and ate it, a few days later vines and mosses started to grow all over its body. Floreon as a Toshimon can adapt to any environment with soil or trees, but to be in a rainforest will enhance its strength. This Toshimon's not hard to catch as it is always around the bush playing with the grasshoppers or eating petals. Its symbiote will cling to any opponent and infiltrate their minds.";295;1;5;105;115;115;95;90;80;[{'moveBase': {'fileID': 11400000, 'guid': '66ffd8d801fc8e647979fdc1b1bc008d', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '1a210953059c5a648aff429da0eec30e', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '5ee59c3c94a6d02418d5ab9208a91b94', 'type': 2}}]
Fennec;25;1;1;1;Fennec is a cute and small foxlike Toshimon. Fennec has pointy ears that are sensitive to sounds and can hear from miles away. It has a thick crystal blue fur with snow white accent on its body and two tails. Despite Fennec's short limbs it can run really fast up to 90mph. Fennec lives in the same mystical forest as Vulpes and he admires Vulpes so much. Vulpes is Fennec's role model and someday Fennec told himself that he wants to be as strong and fierce as Vulpes. It keeps on training everyday with its fire ability to make up for the lost of height. It often gets bullied a lot but Fennec wants to prove them wrong. This short tempered Toshimon isn't fond when other Toshimon makes fun of it. Even though Fennec is cute, don't tease it too much or it might roast you! Fennec's torch is not powerful as others but it can beat you in speed and wits, therefore don't make Fennec lose its temper.;52;2;0;50;85;65;55;60;90;[{'moveBase': {'fileID': 11400000, 'guid': 'e9240acb6cafcb54ea8fe24666f2d9b4', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '5d6fe4a9634012942a2f08f5c8dfd4da', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Vulpes;26;2;0;2;Vulpes is a foxlike Toshimon with seven tails, and deep blue fur with a light blue accent most visible on its tails. It has piercing eyes, pointy ears, slender legs, and no visible claws. Vulpes might looked tame and friendly but be careful and making it angry. Vulpes are the protector of the mystical forest of Asta and the peacemaker in some low level Toshimons. It serves a great leader that is easy to approach to but scary when you disobey its orders.  This Toshimon is a quiet one because when it opened its mouth, you might turn into ash. Vulpes' Flametorch and Flame-nado is quite a powerful attack and its long limbs are great for running and chasing an opponent down. Also avoid with making an eye contact with Vulpes because its gaze might pierce deep within your soul and it will send out chills all over your body making you scared for days.;143;2;0;80;95;85;95;70;110;[{'moveBase': {'fileID': 11400000, 'guid': '56a7163a423ddf04391cf28e61886271', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '86d33be10a4a2bd4abb14eaa2ddb002a', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Pebble;27;1;1;1;Pebble is a cutesy Toshimon having rock feet and a pair of leaves on its head. Its gray-colored body scares everyone around, but Pebble's just really a gentle one. Pebble comes from the trails of Mount Fuji where it entertains and guides the hikers during spring and summer. One summer, a hiker slipped into a muddy area not far from the trail and hit a boulder. Fortunately, Pebble with its ability to sense any danger involving rocks, found the hiker and helped in calling help. Pebble as a Toshimon can adapt to any temperature and environment, and you can find it often lingering in mountains and hills where it entertains hikers and other creatures. Be gentle or be ready to be brittle! As a gentle creature, Pebble rarely use its power to attack opponents, but its rumble would humble anybody who intends harm on it and its rock buddies.;53;9;0;70;95;105;40;50;60;[{'moveBase': {'fileID': 11400000, 'guid': '606c654e0533d604183dda866fe140f3', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '9f413179d338b6a429ad0576521c153d', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Stoney;28;2;0;2;Stoney is a buff Toshimon with tough arms and legs that creates heavy sounds when it's walking. Just like Pebble, its little brother, it has a pair of leaves on its head and has a gray-colored body. There's a large hole on its chest for Pebble to rest in. Unlike Pebble, Stoney is harsh and will definitely crush everything that gets on its way. Stoney resides on the edge of Mount Fuji where it rests and walks around every evening to maintain the law of the mountain. This Toshimon has developed strength not found in any living creatures known to man. Like Pebble, it can adapt to any temperature and environment. Although it's hard to spot this Toshimon due to its ability to become a boulder, just find a spot on the edge of the mountain and you'll catch him there. Its quake and tectonic shift's so strong that it can literally move mountains and shift all the tectonic plates and create another Pangaea. Even its little movements can make the other creatures dizzy.;144;9;0;90;115;125;60;70;80;[{'moveBase': {'fileID': 11400000, 'guid': '39715758716d337479fa8a3385adf2aa', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'ba0e0c2cc9f704d45aafc9cd0b0fc02f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
